seconds_remaining,ev_foul,ev_foul_ci_low,ev_foul_ci_high,ev_defend,ev_defend_ci_low,ev_defend_ci_high,ev_gain,ev_gain_ci_low,ev_gain_ci_high,n_foul,n_defend,foul_is_better
2,1.0,0.8064,1.0,0.9091,0.8445,0.958,0.0909,-0.1067,0.1555,16,121,True
4,0.871,0.7115,0.9714,0.9302,0.8727,0.9704,-0.0593,-0.2221,0.0591,31,129,False
6,0.8485,0.6908,0.9643,0.9302,0.8727,0.968,-0.0817,-0.2428,0.0389,33,129,False
8,0.96,0.8046,1.0,0.9174,0.8545,0.9636,0.0426,-0.1172,0.1212,25,121,True
10,0.9444,0.7424,1.0,0.9055,0.8421,0.952,0.0389,-0.1669,0.132,18,127,True
